name,"name,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj"
0,"ENSMUSG00000097101,5324.089663525539,4.08406743787756,0.094455484986892,43.2380124716349,0.0,0.0"
1,"ENSMUSG00000021257,5229.625214822329,3.6517204847189397,0.0911936414502372,40.0435866651034,0.0,0.0"
2,"ENSMUSG00000037685,48325.1824947982,2.224971515538,0.0576659088716171,38.5838281070278,0.0,0.0"
3,"ENSMUSG00000111375,13851.4213134122,2.79792396720527,0.0656876433606788,42.5943727626576,0.0,0.0"
4,"ENSMUSG00000086718,3090.44334893782,4.86773901293125,0.125384430924526,38.8225154992436,0.0,0.0"
5,"ENSMUSG00000041219,6518.75277767673,2.99486261696289,0.0803639459342396,37.266246475920205,5.7817531532327156e-304,1.2730456817892892e-300"
6,"ENSMUSG00000044211,7199.66372246207,2.93966955276801,0.0794407236998119,37.004566623490796,9.669637006748812e-300,1.824936778516549e-296"
7,"ENSMUSG00000085408,11057.7045051784,2.41027889104596,0.0691514832445561,34.8550570133391,3.569137623671698e-266,5.8939846432908464e-263"
8,"ENSMUSG00000086918,7249.681581713299,2.67688798963108,0.0777465825376626,34.4309409141465,8.685798555841376e-260,1.2749787191246693e-256"
9,"ENSMUSG00000110368,9392.68853998758,2.32916322402488,0.0719196514726958,32.3856300236542,4.373650576759968e-230,5.778029776957588e-227"
10,"ENSMUSG00000026679,11163.9557538054,2.29562843997529,0.0731388035196192,31.387284580879,3.017282806656809e-216,3.6237566507948285e-213"
11,"ENSMUSG00000100801,4792.8412383163395,2.65631075502427,0.0877974773458924,30.2549781078482,4.487123969817748e-201,4.939949563771848e-198"
12,"ENSMUSG00000118128,1667.5976217535901,4.80333369901551,0.15970289863755602,30.076684518523503,9.779747394604966e-199,9.938480217702016e-196"
13,"ENSMUSG00000116534,3151.41945670331,3.4782382465236097,0.115730579589673,30.054617015276605,1.9001536856788494e-198,1.793066452964519e-195"
14,"ENSMUSG00000109829,5368.99126435944,2.48127009601998,0.0840339092636535,29.527010200549803,1.2960828843362594e-191,1.1415033989977496e-188"
15,"ENSMUSG00000087034,8059.96839463255,2.15039698471923,0.0751507386499243,28.6144490839465,4.441747063842368e-180,3.667495028776349e-177"
16,"ENSMUSG00000020074,8040.092340752091,2.14754973388703,0.0751400681652709,28.5806199851122,1.1700793575144395e-179,9.092893171837218e-177"
17,"ENSMUSG00000042102,9315.55985330925,2.0815368022803,0.0749734688335713,27.7636453890238,1.1925169240299193e-169,8.752411712977388e-167"
18,"ENSMUSG00000082066,6231.70206795666,2.1966065666032297,0.0795654219010406,27.6075525538626,9.030684156228736e-168,6.279177283575679e-165"
19,"ENSMUSG00000086166,12654.794888075901,1.8421991664848198,0.0677102254103598,27.2071043231671,5.352113055855148e-163,3.535338279045119e-160"
20,"ENSMUSG00000112639,4465.979509547979,2.4365790763805495,0.0896441692920965,27.1805639521428,1.1025372886048797e-162,6.936009580837648e-160"
21,"ENSMUSG00000085467,6705.69034511447,2.22221589163358,0.0818086068560274,27.163595335933298,1.7494641615680295e-162,1.0505532290215997e-159"
22,"ENSMUSG00000097156,6120.0862525951,2.24815463370792,0.0845549525535109,26.5880893527221,9.321862867463848e-156,5.354396971394128e-153"
23,"ENSMUSG00000118367,4369.605919778111,2.4216939791929906,0.0917617623869139,26.3911014370224,1.7335178903204995e-153,9.542293687093389e-151"
24,"ENSMUSG00000104905,10905.4601056461,1.9952151794959099,0.0756339718764317,26.3798810243052,2.3317823778639793e-153,1.2322070797584395e-150"
25,"ENSMUSG00000029685,15594.4083882111,1.7136255062920502,0.0656347463322473,26.108511147701698,2.918507587667289e-150,1.4829386054104795e-147"
26,"ENSMUSG00000035245,8484.899820873141,1.8989773694529701,0.0731776983527328,25.9502199741167,1.8079334878838394e-148,8.846151595716066e-146"
27,"ENSMUSG00000029068,12357.311639103702,2.00774460051384,0.0774602087867876,25.919690018396896,3.995429971763709e-148,1.8851294770346593e-145"
28,"ENSMUSG00000103748,5585.854584013921,2.17810921224987,0.0840647717910163,25.9098926440271,5.152206434400708e-148,2.3470965243057792e-145"
29,"ENSMUSG00000066767,3377.6277830659,2.6102466082676203,0.10124098028461599,25.7825102140409,1.3930849218689695e-146,6.134681634270338e-144"
30,"ENSMUSG00000019942,5213.30965626574,2.14486652127483,0.0843459192683188,25.4294047641076,1.1930724430034795e-142,5.08441291758678e-140"
31,"ENSMUSG00000035394,4160.04949555628,2.29487311645354,0.0913893714107547,25.1109410320715,3.7771641835028785e-139,1.5593786258830199e-136"
32,"ENSMUSG00000021831,1851.2977314335396,3.32215812342067,0.132561062165929,25.0613420648536,1.3133827278390098e-138,5.257908853782159e-136"
33,"ENSMUSG00000064793,6957.78135876876,2.07576142683317,0.0828816549901624,25.0448839019872,1.9849408433126495e-138,7.712662788530417e-136"
34,"ENSMUSG00000029092,11393.846679897,1.67712967727826,0.0670677047460874,25.0065166778516,5.192856961268639e-138,1.9600809518662893e-135"
35,"ENSMUSG00000091784,2588.4764749823603,2.7807671537119596,0.112036655218636,24.8201550491254,5.4328301310682386e-136,1.9936977461539597e-133"
36,"ENSMUSG00000030207,8619.83947945418,1.77670402368745,0.0723113064228171,24.5702105463113,2.6306170913284292e-133,9.392724971226998e-131"
37,"ENSMUSG00000052794,8831.7304314481,1.75548964165342,0.0718133131313114,24.445183839986402,5.662325718554918e-132,1.9685522386270796e-129"
38,"ENSMUSG00000102571,2603.9326723019603,2.69102429047568,0.11033722768503301,24.389087408987898,2.2327936548310193e-131,7.5634453779417e-129"
39,"ENSMUSG00000063830,8437.53105573685,1.7579965599011897,0.0726132728349955,24.2104024686507,1.7287706539017494e-129,5.709697277173989e-127"
40,"ENSMUSG00000084383,6037.06898223611,1.9289429667621598,0.0799577311017649,24.1245335526984,1.3820954038756995e-128,4.453381068439489e-126"
41,"ENSMUSG00000088777,3821.20278363411,2.26768393166593,0.0941239702445841,24.0925231455206,2.994112313050319e-128,9.417908992311379e-126"
42,"ENSMUSG00000097914,5366.1641285140795,2.03469714443544,0.08514484002092,23.8968931521337,3.299223775701749e-126,1.0136289604836196e-123"
43,"ENSMUSG00000084755,4659.013726735129,2.0581777487407,0.0872338054735764,23.5938090464726,4.461520688484619e-123,1.3395715867175098e-120"
44,"ENSMUSG00000102478,4955.38256707841,2.00762371470003,0.0853554119750234,23.520754785736298,2.5016598463668094e-122,7.344317384522658e-120"
45,"ENSMUSG00000078307,3101.12122718227,2.40158496153951,0.102483379646286,23.4338969872814,1.9294684362408893e-121,5.541349458951838e-119"
46,"ENSMUSG00000034066,2810.5179040322496,2.6355348089594903,0.11258577487346999,23.409127946416397,3.4501808698028892e-121,9.697944568290637e-119"
47,"ENSMUSG00000105594,6934.65078034819,1.7884249389312699,0.0766891313958218,23.320448496156896,2.749996926941959e-120,7.568793625381288e-118"
48,"ENSMUSG00000095398,2673.84258887823,2.52608496102309,0.108545966794984,23.2720296811602,8.513446817841958e-120,2.2953295083777593e-117"
49,"ENSMUSG00000109178,2528.53492895173,2.8947381368478,0.124630529051649,23.226557400299395,2.455201636955539e-119,6.48713376516392e-117"
50,"ENSMUSG00000096967,3539.15578144193,2.31006158669803,0.0994898018538974,23.219079178491,2.9217861204659694e-119,7.568571850485478e-117"
51,"ENSMUSG00000084145,5571.083107538349,2.12650821916225,0.0917368197302436,23.1805312786659,7.157453966298128e-119,1.8184062374762394e-116"
52,"ENSMUSG00000113792,4202.78261067108,2.09250880163979,0.0905156623375309,23.117643373550898,3.0773641770778294e-118,7.670765687429278e-116"
53,"ENSMUSG00000028307,10570.594383228,1.6797979756662602,0.0728162502804504,23.0689985984798,9.483386389687257e-118,2.320092918410339e-115"
